To what extent do you agree or disagree with the following statement? “I trust the government to use artificial intelligence (AI) to complete some of its tasks” [note 1],,,,,,,,
"Great Britain, 6 to 31 August 2025",,,,,,,,
This worksheet contains one table.,,,,,,,,
Some cells refer to notes which can be found on the Notes worksheet.,,,,,,,,
Blank cells indicate that there's no note in that row.,,,,,,,,
,,,,,,,,
,,,,,,,,
"To enable filters, select any cell within the table, then navigate to the ""Data"" tab on the ribbon, and click on the ""Filter"" button in the ""Sort & Filter"" group. To apply a filter, click the filter icon in the column header of the data you wish to filter, then choose the desired criteria from the dropdown menu.",,,,,,,,
Question: To what extent do you agree or disagree with the following statement? “I trust the government to use artificial intelligence (AI) to complete some of its tasks”,,,,,,,,
Source: Opinions and Lifestyle Survey from the Office for National Statistics,,,,,,,,
Breakdown category,Breakdown,Response options,Estimate (%),LCL,UCL,Sample size,Weighted count,Notes
All persons,All,Strongly agree,3,2,4,"3,290","54,561,658",
All persons,All,Agree,27,24,29,"3,290","54,561,658",
All persons,All,Neither agree nor disagree,27,25,29,"3,290","54,561,658",
All persons,All,Disagree,26,24,28,"3,290","54,561,658",
All persons,All,Strongly disagree,17,15,19,"3,290","54,561,658",
All persons,All,Strongly agree or agree,29,27,32,"3,290","54,561,658",[note 2]
All persons,All,Strongly disagree or disagree,43,41,46,"3,290","54,561,658",[note 2]
Age bands,16 to 29,Strongly agree,3,0,6,230,"11,335,590",
Age bands,16 to 29,Agree,24,18,31,230,"11,335,590",
Age bands,16 to 29,Neither agree nor disagree,23,17,29,230,"11,335,590",
Age bands,16 to 29,Disagree,29,23,36,230,"11,335,590",
Age bands,16 to 29,Strongly disagree,21,15,27,230,"11,335,590",
Age bands,16 to 29,Strongly agree or agree,27,20,34,230,"11,335,590",[note 2]
Age bands,16 to 29,Strongly disagree or disagree,50,43,58,230,"11,335,590",[note 2]
Age bands,30 to 49,Strongly agree,4,2,6,450,"17,230,036",
Age bands,30 to 49,Agree,34,29,40,450,"17,230,036",
Age bands,30 to 49,Neither agree nor disagree,20,16,25,450,"17,230,036",
Age bands,30 to 49,Disagree,25,20,29,450,"17,230,036",
Age bands,30 to 49,Strongly disagree,17,13,21,450,"17,230,036",
Age bands,30 to 49,Strongly agree or agree,38,33,43,450,"17,230,036",[note 2]
Age bands,30 to 49,Strongly disagree or disagree,41,36,47,450,"17,230,036",[note 2]
Age bands,50 to 69,Strongly agree,2,1,3,"1,170","16,904,873",
Age bands,50 to 69,Agree,23,19,26,"1,170","16,904,873",
Age bands,50 to 69,Neither agree nor disagree,34,30,38,"1,170","16,904,873",
Age bands,50 to 69,Disagree,24,21,28,"1,170","16,904,873",
Age bands,50 to 69,Strongly disagree,17,14,21,"1,170","16,904,873",
Age bands,50 to 69,Strongly agree or agree,25,21,28,"1,170","16,904,873",[note 2]
Age bands,50 to 69,Strongly disagree or disagree,42,38,46,"1,170","16,904,873",[note 2]
Age bands,70 and over,Strongly agree,2,1,4,"1,440","9,091,159",
Age bands,70 and over,Agree,22,20,25,"1,440","9,091,159",
Age bands,70 and over,Neither agree nor disagree,33,30,37,"1,440","9,091,159",
Age bands,70 and over,Disagree,28,25,31,"1,440","9,091,159",
Age bands,70 and over,Strongly disagree,14,11,16,"1,440","9,091,159",
Age bands,70 and over,Strongly agree or agree,25,22,28,"1,440","9,091,159",[note 2]
Age bands,70 and over,Strongly disagree or disagree,42,38,45,"1,440","9,091,159",[note 2]
Sex,Male,Strongly agree,4,2,6,"1,610","26,545,920",
Sex,Male,Agree,31,27,35,"1,610","26,545,920",
Sex,Male,Neither agree nor disagree,23,19,26,"1,610","26,545,920",
Sex,Male,Disagree,22,19,26,"1,610","26,545,920",
Sex,Male,Strongly disagree,20,17,23,"1,610","26,545,920",
Sex,Male,Strongly agree or agree,35,31,39,"1,610","26,545,920",[note 2]
Sex,Male,Strongly disagree or disagree,42,38,46,"1,610","26,545,920",[note 2]
Sex,Female,Strongly agree,2,1,2,"1,680","28,015,738",
Sex,Female,Agree,23,20,26,"1,680","28,015,738",
Sex,Female,Neither agree nor disagree,31,28,35,"1,680","28,015,738",
Sex,Female,Disagree,30,26,33,"1,680","28,015,738",
Sex,Female,Strongly disagree,15,12,17,"1,680","28,015,738",
Sex,Female,Strongly agree or agree,24,21,27,"1,680","28,015,738",[note 2]
Sex,Female,Strongly disagree or disagree,44,41,48,"1,680","28,015,738",[note 2]
AI benefit grouped,Strongly agree or agree,Strongly agree,5,3,7,"1,240","22,351,398",[note 5]
AI benefit grouped,Strongly agree or agree,Agree,48,44,53,"1,240","22,351,398",[note 5]
AI benefit grouped,Strongly agree or agree,Neither agree nor disagree,24,20,27,"1,240","22,351,398",[note 5]
AI benefit grouped,Strongly agree or agree,Disagree,16,13,19,"1,240","22,351,398",[note 5]
AI benefit grouped,Strongly agree or agree,Strongly disagree,7,5,10,"1,240","22,351,398",[note 5]
AI benefit grouped,Strongly agree or agree,Strongly agree or agree,53,49,58,"1,240","22,351,398",[note 2] [note 5]
AI benefit grouped,Strongly agree or agree,Strongly disagree or disagree,23,19,26,"1,240","22,351,398",[note 2] [note 5]
AI benefit grouped,Neither agree nor disagree,Strongly agree,1,0,2,"1,430","21,491,327",[note 5]
AI benefit grouped,Neither agree nor disagree,Agree,15,12,18,"1,430","21,491,327",[note 5]
AI benefit grouped,Neither agree nor disagree,Neither agree nor disagree,38,34,42,"1,430","21,491,327",[note 5]
AI benefit grouped,Neither agree nor disagree,Disagree,33,29,37,"1,430","21,491,327",[note 5]
AI benefit grouped,Neither agree nor disagree,Strongly disagree,13,10,17,"1,430","21,491,327",[note 5]
AI benefit grouped,Neither agree nor disagree,Strongly agree or agree,16,13,19,"1,430","21,491,327",[note 2] [note 5]
AI benefit grouped,Neither agree nor disagree,Strongly disagree or disagree,46,42,50,"1,430","21,491,327",[note 2] [note 5]
AI benefit grouped,Strongly disagree or disagree,Strongly agree,[c],[c],[c],610,"10,696,436",[note 5]
AI benefit grouped,Strongly disagree or disagree,Agree,5,2,8,610,"10,696,436",[note 5]
AI benefit grouped,Strongly disagree or disagree,Neither agree nor disagree,13,9,17,610,"10,696,436",[note 5]
AI benefit grouped,Strongly disagree or disagree,Disagree,35,29,40,610,"10,696,436",[note 5]
AI benefit grouped,Strongly disagree or disagree,Strongly disagree,47,40,53,610,"10,696,436",[note 5]
AI benefit grouped,Strongly disagree or disagree,Strongly agree or agree,6,3,10,610,"10,696,436",[note 2] [note 5]
AI benefit grouped,Strongly disagree or disagree,Strongly disagree or disagree,81,76,86,610,"10,696,436",[note 2] [note 5]